"Production Number","Production Name",URL,"Start Date","End Date"
Page,"Production Name",URL,"Start Date","End Date"
2,"Children Ruin Everything - Season 3",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58542&action_productionview2=Submit,"Apr 17 2023","Jun 06 2023"
3,"Davey and Jonesie's Locker - Season 1",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58522&action_productionview2=Submit,"Apr 10 2023","Jun 01 2023"
21,"Foundation - Season 3 (Czech Republic)",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58321&action_productionview2=Submit,"Apr 03 2023","Jul 12 2023"
26,"Nadaamaadis: Red Power Rising",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58518&action_productionview2=Submit,"Feb 20 2023","Aug 30 2023"
31,"Untitled Lilith Fair Documentary",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58766&action_productionview2=Submit,"Mar 13 2023","Jun 30 2023"
31,"We're All Gonna Die - Season 2",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58565&action_productionview2=Submit,"Mar 01 2023","Oct 31 2023"
34,"Any Other Way: Jackie Shane Story",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58311&action_productionview2=Submit,"Oct 31 2022","Nov 30 2022"
38,"Black Life, A Canadian History",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=56761&action_productionview2=Submit,"Mar 25 2022","Sep 12 2022"
40,"Bria Mack Gets a Life - Season 1",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57812&action_productionview2=Submit,"Oct 11 2022","Nov 09 2022"
45,"Fargo - Season 5 (Sound Post)",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58622&action_productionview2=Submit,,
59,"Orphan Black: Echoes - Season 1",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57441&action_productionview2=Submit,"Aug 22 2022","Jan 14 2023"
64,"Raphanis - Season 2 (Post Only)",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57767&action_productionview2=Submit,"Nov 02 2022","Dec 06 2022"
72,"We Forgot to Break Up (North Bay)",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=58233&action_productionview2=Submit,"Nov 07 2022","Nov 25 2022"
